id,question,doc_1,title_1,context_1,source_1,reranker_score_1,doc_2,title_2,context_2,source_2,reranker_score_2,doc_3,title_3,context_3,source_3,reranker_score_3,extractive_sentence,extractive_score
801,চুইঝাল সম্পর্কে গাছের গোড়া বিষয়ে কী বলা হয়েছে?,349,চুইঝাল: সার ব্যবস্থাপনা,প্রতি বছর বর্ষার আগে ও পরে গাছের গোড়া থেকে ৫০ সেমি দূরে সার প্রয়োগ করতে হবে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,0.966796875,350,চুইঝাল: সেচ ব্যবস্থাপনা,সার দেয়ার সময় গাছের গোড়ায় মাটি হালকা করে কুপিয়ে দিতে হয় এবং সেচ প্রদান করতে হবে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,0.7080078125,342,চুইঝাল: কাণ্ডের বৈশিষ্ট্য,অঙ্গজ প্রজনন বা লতা কাটিং পদ্ধতিতে এর কাণ্ড বা শাখা ৩০ থেকে ৩৫ সেন্টিমিটার লম্বা করে কেটে সরাসরি মাটিতে রোপণ করা হয়।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,-1.7353515625,সার দেয়ার সময় গাছের গোড়ায় মাটি হালকা করে কুপিয়ে দিতে হয় এবং সেচ প্রদান করতে হবে।,-6.6328125
802,পানিকচুর বন্যাপ্রবণ জায়গায় চারা লাগানোর সময় কী?,45,পানিকচু: চারা উৎপাদন ও পরিচর্যা,যে সব জায়গা বন্যার পানিতে তলিয়ে যাবার সম্ভাবনা আছে সেখানে কার্তিক মাসেই চারা লাগানো ভালো।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,4.7421875,44,পানিকচু: রোপণের সময়,বাণিজ্যিকভাবে চাষাবাদের জন্য অগ্রহায়ণ-পৌষ মাস চারা রোপণের উপযুক্ত সময়।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,2.48828125,55,পানিকচু: আগাছা ব্যবস্থাপনা,চারা লাগানোর পর থেকে ৩ মাস পর্যন্ত জমিতে আগাছা জন্মাতে পারে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,1.67578125,যে সব জায়গা বন্যার পানিতে তলিয়ে যাবার সম্ভাবনা আছে সেখানে কার্তিক মাসেই চারা লাগানো ভালো।,3.369140625
803,সুপারি: বীজতলার মাটিতে বালুর পরিমাণ প্রসঙ্গে কী তথ্য আছে?,285,সুপারি: বীজতলা প্রস্তুতি ও চারা,বীজতলার মাটিতে বালুর পরিমাণ কম থাকলে কিছু ভিটি বালু মিশিয়ে নিলে ভাল হয়।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,4.7890625,279,সুপারি: মাটি ও জমির উপযোগিতা,"সুপারি চাষের জন্য উর্বর ও মাঝারি ধরনের মাটি অর্থাৎ হালকা বুনটের মাটি উত্তম, তবে বেলে দো-আঁশ মাটি সবচেয়ে উপযোগী।",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,-0.144775390625,288,সুপারি: সার ব্যবস্থাপনা,"বীজতলার জমির উর্বরতা অনুযায়ী হেক্টরপ্রতি ১৫-২০ টন গোবর বা জৈব সার প্রয়োগ করতে হবে, তবে কোনো রাসায়নিক সার প্রয়োগের প্রয়োজন নেই।",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,-0.427734375,বীজতলার মাটিতে বালুর পরিমাণ কম থাকলে কিছু ভিটি বালু মিশিয়ে নিলে ভাল হয়।,-0.1495361328125
804,মুখীকচু সম্পর্কে ডাবল সারি পদ্ধতির রোপণ দূরত্ব বিষয়ে কী বলা হয়েছে?,100,মুখীকচু: রোপণ বা বপনের দূরত্ব,ডাবল সারি পদ্ধতিতে রোপণ দূরত্ব: ৭৫ সেমি × ৬০ সেমি।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,5.91796875,99,মুখীকচু: রোপণ বা বপনের দূরত্ব,একক সারি পদ্ধতিতে রোপণ দূরত্ব: ৬০ সেমি × ৩৫ সেমি।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,2.740234375,49,পানিকচু: রোপণ বা বপনের দূরত্ব,সারি থেকে সারির দূরত্ব ৬০ সে.মি. এবং গাছ থেকে গাছের দূরত্ব ৪৫ সে.মি. রাখতে হবে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,1.4384765625,ডাবল সারি পদ্ধতিতে রোপণ দূরত্ব: ৭৫ সেমি × ৬০ সেমি।,2.96875
805,কফির মাটি ও জমি নির্বাচন সম্পর্কে কী বলা হয়েছে?,310,কফি: মাটি ও জমির উপযোগিতা,বাণিজ্যিকভাবে কফি চাষ করে অধিক ফলনের জন্য কমপক্ষে ৩% জৈব পদার্থ সমৃদ্ধ উর্বর মাটি বেছে নিতে হবে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,3.072265625,311,কফি: ব্যবহার ও উপযোগিতা,বাংলাদেশের পার্বত্য অঞ্চলের মাটি ও জলবায়ু বাণিজ্যিক কফি চাষের জন্য উপযোগী।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,-1.9677734375,168,বারি চিনা-২: মাটি ও জমির উপযোগিতা,বারি চিনা-২ উৎপাদন প্রযুক্তি জমি নির্বাচন ও তৈরি: পানি জমে না এমন বেলে দোআঁশ বা দোআঁশ মাটি চিনা চাষের জন্য উপযুক্ত।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,-4.94140625,বাণিজ্যিকভাবে কফি চাষ করে অধিক ফলনের জন্য কমপক্ষে ৩% জৈব পদার্থ সমৃদ্ধ উর্বর মাটি বেছে নিতে হবে।,1.89453125
806,মটরশুটির পটাশিয়াম সার ব্যবস্থাপনা চাষের অর্থনৈতিক ফলাফল সম্পর্কে কী বলা হয়েছে?,468,মটরশুটি: পটাশিয়াম সার ব্যবস্থাপনা: প্রযুক্তির উপযোগিতা,পটাশিয়াম সার ভিত্তিক সমন্বিত সার ব্যবস্থাপনায় প্রচলিত চাষ পদ্ধতি থেকে মটরশুঁটির সবুজ শুঁটির ফলন ২০-৪০% বেশি পাওয়া যায়।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,1.7822265625,470,মটরশুটি: পটাশিয়াম সার ব্যবস্থাপনা: আয়-ব্যয় ও মুনাফা,"তিন বৎসরের গবেষণায় প্রতীয়মান হয়েছে, রবি মৌসুমে হেক্টরপ্রতি ৩৭,৭৭৮ টাকা খরচ করে প্রায় ১,৫৯,৭২২ টাকার সবুজ শুঁটি এবং প্রায় ৫৮,২২২ টাকার বীজ উৎপাদন করা যায়।",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,1.6328125,469,গম-পাট-রোপা আমন ফসল বিন্যাস: রোগ ব্যবস্থাপনা,"মাটিতে পটাশিয়াম সার ব্যবহারের ফলে গাছের অন্যান্য খাদ্যোপাদানের মাত্রা ঠিক থাকে এবং পটাশিয়াম গাছকে রোগের আক্রমণ, ঠান্ডা ও খরা থেকে রক্ষা করে।",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,-3.345703125,পটাশিয়াম সার ভিত্তিক সমন্বিত সার ব্যবস্থাপনায় প্রচলিত চাষ পদ্ধতি থেকে মটরশুঁটির সবুজ শুঁটির ফলন ২০-৪০% বেশি পাওয়া যায়।,1.3896484375
807,চিয়া কখন বপন করা উচিত?,155,চিয়া: বপনের সময়,নভেম্বর মাসের ২য় থেকে ৩য় সপ্তাহ বীজ বপনের উপযুক্ত সময়।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,4.1328125,125,চীনাবাদাম: বপনের সময়,মৌসুমে ফাল্গুন থেকে চৈত্র (মার্চ থেকে এপ্রিল) ও খরিফ-২ মৌসুম শ্রাবণ থেকে ভাদ্র (জুলাই থেকে আগস্ট) মাসে বীজ বপন করতে হয়।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,0.72021484375,154,চিয়া: মৌসুম,"চিয়া বাংলাদেশে একটি নতুন সম্ভবনাময় ফসল, যা রবি মৌসুমে চাষাবাদ করা যায়।",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,-0.81201171875,"চিয়া বাংলাদেশে একটি নতুন সম্ভবনাময় ফসল, যা রবি মৌসুমে চাষাবাদ করা যায়।",0.062225341796875
808,কফির রং-সংক্রান্ত বৈশিষ্ট্য কী?,328,বারি কফি-১: রং ও বর্ণ,উভয় প্রকার কফির ফুল সাদা রঙের হয়।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,0.68505859375,308,বারি কফি-১: বীজ বা দানার বৈশিষ্ট্য,বিন/বীজ গোলাকৃতির সবুজাভ বাদামী রং ধারণ করে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,0.630859375,330,বারি কফি-১: ফলের বৈশিষ্ট্য,পাকা অবস্থায় ফল লাল বর্ণ ধারণ করে।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,-0.298828125,উভয় প্রকার কফির ফুল সাদা রঙের হয়।,0.24560546875
809,মরিচের সাথে পাতা জাতীয় সবজি আন্তঃফসল সাধারণত কতদিনে জীবনচক্র সম্পন্ন করে?,395,মরিচের সাথে পাতা জাতীয় সবজি আন্তঃফসল: জীবনকাল,মরিচ একটি দীর্ঘ মেয়াদী ফসল এবং সারি থেকে সারির দূরত্ব বেশি হওয়ায় স্বল্প জীবনকালীন পাতা জাতীয় সবজি (৩০-৩৫ দিন) অতি সহজেই আন্তঃফসল হিসাবে চাষ করা হয়।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,5.96484375,403,মরিচের সাথে পাতা জাতীয় সবজি আন্তঃফসল: ফসল সংগ্রহ,পাতা জাতীয় সবজি: বপনের ৩০-৩৫ দিন পর সংগ্রহ করা যায়।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,3.619140625,402,মরিচের সাথে পাতা জাতীয় সবজি আন্তঃফসল: ফসল সংগ্রহ,চারা রোপণের ৭০-৭৫ দিন পর মরিচ উত্তোলন শুরু হয় এবং প্রায় ৫-৬ বার কাঁচা মরিচ উত্তোলন করা যায়।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,2.564453125,মরিচ একটি দীর্ঘ মেয়াদী ফসল এবং সারি থেকে সারির দূরত্ব বেশি হওয়ায় স্বল্প জীবনকালীন পাতা জাতীয় সবজি (৩০-৩৫ দিন) অতি সহজেই আন্তঃফসল হিসাবে চাষ করা হয়।,5.56640625
810,বেগুনের সাথে পেঁয়াজ ও রসুন আন্তঃফসলের প্রযুক্তির উপযোগিতা সম্পর্কে কী বলা হয়েছে?,388,বেগুনের সাথে পেঁয়াজ ও রসুন আন্তঃফসল: ব্যবহার ও উপযোগিতা,বেগুনের সারি থেকে সারির দূরত্ব বেশি হওয়ায় এর মাঝে অতি সহজেই পেঁয়াজ এবং রসুন আবাদ করা সহজ।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,5.38671875,390,বেগুনের সাথে পেঁয়াজ ও রসুন আন্তঃফসল: প্রযুক্তির উপযোগিতা,"প্রযুক্তিটি কুষ্টিয়া, ফরিদপুর, যশোর, পাবনা, জামালপুর, বগুড়া এবং রংপুর জেলায় প্রয়োগ করা যেতে পারে।",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,4.01953125,393,বেগুনের সাথে পেঁয়াজ ও রসুন আন্তঃফসল: জলাবদ্ধতা ও পানি নিষ্কাশন,বেগুন ও পেঁয়াজ এবং বেগুন ও রসুন আন্তঃফসল জলাবদ্ধতা সহ্য করতে পারে না।,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bari/2024/12/26c584aa513c4e7b9b7cc65b0f81fd94.pdf,3.431640625,বেগুনের সারি থেকে সারির দূরত্ব বেশি হওয়ায় এর মাঝে অতি সহজেই পেঁয়াজ এবং রসুন আবাদ করা সহজ।,-1.6962890625
