id,question,gold
1,আলু কীভাবে সংরক্ষণ করতে হবে?,অস্থায়ী শেড থেকে বাছাই শেষে বিক্রির জন্য বিক্রয় করা অথবা সংরক্ষণের জন্য কোল্ড ষ্টোরে রাখা যাবে।
2,লটকন চাষে বপন বা রোপণের দূরত্ব কত?,রোপণ দূরত্ব ৮ মিটার × ৮ মিটার।
3,মরিচ চাষে পানি নিষ্কাশনের ব্যবস্থা কেমন হওয়া উচিত?,"মরিচ সাধারণত উঁচু এবং মাঝারি উঁচু জমিতে ভাল হয়, কিন্তু পানি নিষ্কাশনের ভাল ব্যবস্থা থাকলে মাঝারি বা মাঝারি নিচু জমিতেও চাষ করা যেতে পারে।"
4,মরিচের সাথে পাতা জাতীয় সবজি আন্তঃফসলের আগাছা বেশি হলে নিড়ানি সম্পর্কে কী নির্দেশনা আছে?,যদি আগাছা বেশি থাকে তাহলে নিড়ানী বেশি দিতে হবে।
5,বার্লির চারা পাতলা করার দূরত্ব কত?,চারা গজানোর ২-৩ সপ্তাহের মধ্যে ৮-১০ সে.মি. দূরত্বে একটি করে চারা রেখে বাকি চারা তুলে পাতলা করে দিতে হবে।
6,বারি চিয়া ১-এর হাজার দানার ওজন কত?,হাজার দানার ওজন ১.২ গ্রাম।
7,চীনাবাদাম সম্পর্কে কম তাপমাত্রার প্রভাব বিষয়ে কী বলা হয়েছে?,রবি মৌসুমে তাপমাত্রা কম থাকলে গাছের বৃদ্ধি খুব ধীরগতিতে হয়।
8,সুপারি চারা লাগানোর কত বছর পর ফলন শুরু হয়?,সুপারির চারা লাগানোর পর সঠিক ভাবে যত্ন নিলে ৪-৫ বৎসরের মধ্যেই ফলন আসতে শুরু করে।
9,বার্লি ছিটানো পদ্ধতিতে বীজের হার কত?,ছিটিয়ে বপন করলে প্রতি হেক্টরে ৭০ কেজি বীজ প্রয়োজন হয়।
10,মাঠের ইঁদুর ব্যবস্থাপনা বিষয়ে ইঁদুর তাড়ানোর কার্যকারিতা সম্পর্কে কী তথ্য আছে?,এ পদ্ধতিতে প্রায় ৭০ ভাগ ইঁদুর কার্যকর ভাবে তাড়ানো যাবে।
11,গম-পাট-রোপা আমন ফসল বিন্যাস সম্পর্কে চারা রোপণের পর নিড়ানির সময় বিষয়ে কী বলা হয়েছে?,চারা রোপণের ১৫ দিন পর একবার ও ৩০ দিন পর দ্বিতীয়বার নিড়ানি দিতে হবে।
12,বারি চীনাবাদাম-১২-এর বীজ বা দানার বৈশিষ্ট্য কী?,দানার আকার বড় হওয়ায় বেকারীতে ব্যবহার উপযোগী।
13,সুপারি বিষয়ে সারি ও চারার দূরত্ব সম্পর্কে কী তথ্য আছে?,বগার্কৃতি পদ্ধতিতে সারি থেকে সারির দূরত্ব ২.৫ মিটার এবং চারা থেকে চারার দূরত্ব ২.৫ মিটার।
14,বারি বার্লি-১০ বিষয়ে পরিপক্বতার সময় সম্পর্কে কী তথ্য আছে?,পরিপক্ক হতে ৯৫-১০৫ দিন সময় লাগে।
15,পানিকচু সম্পর্কে চারা রোপণের বিষয়ে কী বলা হয়েছে?,বাণিজ্যিকভাবে চাষাবাদের জন্য অগ্রহায়ণ-পৌষ মাস চারা রোপণের উপযুক্ত সময়।
16,কাসাভার ফলনের ওপর সেচের প্রভাব কী?,কাসাভা খরা সহ্যকারী গাছ হলেও প্রয়োজনীয় সেচের ব্যবস্থা থাকলে ফলন অনেক বৃদ্ধি পায়।
17,মরিচের চারা সম্পর্কে কী তথ্য দেওয়া হয়েছে?,চারার পরিচর্যা: চারার বয়স ৩০-৩৫ দিন হলে জমিতে লাগানোর উপযোগী হয়।
