id,question,gold
3,মরিচ চাষে পানি নিষ্কাশনের ব্যবস্থা কেমন হওয়া উচিত?,"মরিচ সাধারণত উঁচু এবং মাঝারি উঁচু জমিতে ভাল হয়, কিন্তু পানি নিষ্কাশনের ভাল ব্যবস্থা থাকলে মাঝারি বা মাঝারি নিচু জমিতেও চাষ করা যেতে পারে।"
8,সুপারি চারা লাগানোর কত বছর পর ফলন শুরু হয়?,সুপারির চারা লাগানোর পর সঠিক ভাবে যত্ন নিলে ৪-৫ বৎসরের মধ্যেই ফলন আসতে শুরু করে।
11,গম-পাট-রোপা আমন ফসল বিন্যাস সম্পর্কে চারা রোপণের পর নিড়ানির সময় বিষয়ে কী বলা হয়েছে?,চারা রোপণের ১৫ দিন পর একবার ও ৩০ দিন পর দ্বিতীয়বার নিড়ানি দিতে হবে।
24,বারি আলু-১০৩-এর শুষ্ক পদার্থের পরিমাণ কত?,শুষ্ক পদার্থ ২০% এর উপরে যা অনুকূল পরিবেশে ২২% পর্যন্ত হয়।
30,বারি সুপারি-২ জাতের একটি খোসাসহ কাঁচা সুপারির ওজন কত?,খোসা সহ একক কাঁচা সুপারির গড় ওজন ৪০.০০ গ্রাম।
31,বারি কফি-১-এর রং-সংক্রান্ত বৈশিষ্ট্য কী?,উভয় প্রকার কফির ফুল সাদা রঙের হয়।
32,সুপারি চাষে বীজের হার কত?,প্রতি হেক্টরে বীজের হার ৭০-৮০ কেজি (খোসাসহ কাঁচা সুপারি)।
34,পালংশাকের কম্পোস্ট ব্যবস্থাপনা কখন বপন করা উচিত?,প্রযুক্তি ব্যবহারের তথ্য: শস্য: পালংশাক; জাত: বারি পালংশাক-২; বপনের সময়: ১৫-৩০ নভেম্বর।
40,গম-পাট-রোপা আমন ফসল বিন্যাসের রোপণ পদ্ধতি সম্পর্কে কী বলা হয়েছে?,৮ থেকে ১০ সারি পরপর এক সারি বাদ দিয়ে চারা রোপণ করলে ধান গাছ পর্যাপ্ত আলো বাতাস পায়।
50,চর এলাকায় বিনা চাষে পেঁয়াজ কখন বা কীভাবে সংগ্রহ করতে হবে?,সাধারণত বীজ বপনের ৩-৪ মাসের মধ্যে পেঁয়াজের বাল্ব তোলার উপযুক্ত হয়।
