id,question,gold,extractive,generative,score,margin,generative_truncated,extractive_token_f1,generative_token_f1,extractive_fuzzy,generative_fuzzy,route,hybrid_prediction,hybrid_token_f1,hybrid_fuzzy
3,মরিচ চাষে পানি নিষ্কাশনের ব্যবস্থা কেমন হওয়া উচিত?,"মরিচ সাধারণত উঁচু এবং মাঝারি উঁচু জমিতে ভাল হয়, কিন্তু পানি নিষ্কাশনের ভাল ব্যবস্থা থাকলে মাঝারি বা মাঝারি নিচু জমিতেও চাষ করা যেতে পারে।","মরিচ সাধারণত উঁচু এবং মাঝারি উঁচু জমিতে ভাল হয়, কিন্তু পানি নিষ্কাশনের ভাল ব্যবস্থা থাকলে মাঝারি বা মাঝারি নিচু জমিতেও চাষ করা যেতে পারে।","মরিচ চাষে পানি নিষ্কাশনের সুবিধা সম্পন্ন অম্লীয় উর্বর, দোঁয়াশ মাটি ও ছায়া যুক্ত স্থান গোল মরিচ চাষের জন্য উপযোগী। শেষ চাষের সময় মই দিয়ে মাটি স",3.57421875,0.77734375,True,1.0,0.12000000000000001,1.0,0.4628099173553719,extractive,"মরিচ সাধারণত উঁচু এবং মাঝারি উঁচু জমিতে ভাল হয়, কিন্তু পানি নিষ্কাশনের ভাল ব্যবস্থা থাকলে মাঝারি বা মাঝারি নিচু জমিতেও চাষ করা যেতে পারে।",1.0,1.0
8,সুপারি চারা লাগানোর কত বছর পর ফলন শুরু হয়?,সুপারির চারা লাগানোর পর সঠিক ভাবে যত্ন নিলে ৪-৫ বৎসরের মধ্যেই ফলন আসতে শুরু করে।,সুপারির চারা লাগানোর পর সঠিক ভাবে যত্ন নিলে ৪-৫ বৎসরের মধ্যেই ফলন আসতে শুরু করে।,সুপারির চারা লাগানোর পর ৪-৫ বৎসরের মধ্যেই ফলন আসতে শুরু করে।,8.578125,7.7294921875,False,1.0,0.8571428571428571,1.0,1.0,extractive,সুপারির চারা লাগানোর পর সঠিক ভাবে যত্ন নিলে ৪-৫ বৎসরের মধ্যেই ফলন আসতে শুরু করে।,1.0,1.0
11,গম-পাট-রোপা আমন ফসল বিন্যাস সম্পর্কে চারা রোপণের পর নিড়ানির সময় বিষয়ে কী বলা হয়েছে?,চারা রোপণের ১৫ দিন পর একবার ও ৩০ দিন পর দ্বিতীয়বার নিড়ানি দিতে হবে।,চারা রোপণের ১৫ দিন পর একবার ও ৩০ দিনের মাথায় ২য় বার নিড়ানী দিতে হবে।,চারা রোপণের ১৫ দিন পর একবার ও ৩০ দিন পর দ্বিতীয়বার নিড়ানি দিতে হবে।,2.701171875,0.52734375,False,0.689655172413793,1.0,0.803921568627451,1.0,extractive,চারা রোপণের ১৫ দিন পর একবার ও ৩০ দিনের মাথায় ২য় বার নিড়ানী দিতে হবে।,0.689655172413793,0.803921568627451
24,বারি আলু-১০৩-এর শুষ্ক পদার্থের পরিমাণ কত?,শুষ্ক পদার্থ ২০% এর উপরে যা অনুকূল পরিবেশে ২২% পর্যন্ত হয়।,শুষ্ক পদার্থের পরিমাণ ২৯.৯৪ ± ১।,বারি আলু-১০৩-এর শুষ্ক পদার্থের পরিমাণ ২০% এর উপরে যা অনুকূল পরিবেশে ২২% পর্যন্ত হয়।,1.6494140625,0.275390625,False,0.11764705882352942,0.7407407407407406,0.49411764705882355,0.9333333333333332,extractive,শুষ্ক পদার্থের পরিমাণ ২৯.৯৪ ± ১।,0.11764705882352942,0.49411764705882355
30,বারি সুপারি-২ জাতের একটি খোসাসহ কাঁচা সুপারির ওজন কত?,খোসা সহ একক কাঁচা সুপারির গড় ওজন ৪০.০০ গ্রাম।,খোসা সহ একক কাঁচা সুপারির গড় ওজন ৪০.০০ গ্রাম।,খোসা সহ একক কাঁচা সুপারির গড় ওজন ৪০.০০ গ্রাম।,6.59765625,3.38671875,False,1.0,1.0,1.0,1.0,extractive,খোসা সহ একক কাঁচা সুপারির গড় ওজন ৪০.০০ গ্রাম।,1.0,1.0
31,বারি কফি-১-এর রং-সংক্রান্ত বৈশিষ্ট্য কী?,উভয় প্রকার কফির ফুল সাদা রঙের হয়।,উভয় প্রকার কফির ফুল সাদা রঙের হয়।,বারি কফি-১-এর বিন/বীজ গোলাকৃতির সবুজাভ বাদামী রং ধারণ করে। পাকা অবস্থায় ফল লাল বর্ণ ধারণ করে। উভয় প্রকার কফির ফুল সাদা রঙের হয়।,-2.6484375,3.640625,False,1.0,0.42424242424242425,1.0,1.0,generative,বারি কফি-১-এর বিন/বীজ গোলাকৃতির সবুজাভ বাদামী রং ধারণ করে। পাকা অবস্থায় ফল লাল বর্ণ ধারণ করে। উভয় প্রকার কফির ফুল সাদা রঙের হয়।,0.42424242424242425,1.0
32,সুপারি চাষে বীজের হার কত?,প্রতি হেক্টরে বীজের হার ৭০-৮০ কেজি (খোসাসহ কাঁচা সুপারি)।,প্রতি হেক্টরে বীজের হার ৭০-৮০ কেজি (খোসাসহ কাঁচা সুপারি)।,প্রতি হেক্টরে বীজের হার ৭০-৮০ কেজি (খোসাসহ কাঁচা সুপারি)।,4.83984375,5.61083984375,False,1.0,1.0,1.0,1.0,extractive,প্রতি হেক্টরে বীজের হার ৭০-৮০ কেজি (খোসাসহ কাঁচা সুপারি)।,1.0,1.0
34,পালংশাকের কম্পোস্ট ব্যবস্থাপনা কখন বপন করা উচিত?,প্রযুক্তি ব্যবহারের তথ্য: শস্য: পালংশাক; জাত: বারি পালংশাক-২; বপনের সময়: ১৫-৩০ নভেম্বর।,প্রযুক্তি ব্যবহারের তথ্য: শস্য: পালংশাক; জাত: বারি পালংশাক-২; বপনের সময়: ১৫-৩০ নভেম্বর।,পালংশাকের কম্পোস্ট ব্যবস্থাপনা নভেম্বর মাসে বপন করা উচিত।,1.2119140625,7.6220703125,False,1.0,0.09090909090909091,1.0,0.5116279069767442,extractive,প্রযুক্তি ব্যবহারের তথ্য: শস্য: পালংশাক; জাত: বারি পালংশাক-২; বপনের সময়: ১৫-৩০ নভেম্বর।,1.0,1.0
40,গম-পাট-রোপা আমন ফসল বিন্যাসের রোপণ পদ্ধতি সম্পর্কে কী বলা হয়েছে?,৮ থেকে ১০ সারি পরপর এক সারি বাদ দিয়ে চারা রোপণ করলে ধান গাছ পর্যাপ্ত আলো বাতাস পায়।,পাট: পাট বপনের সময় ইউরিয়া ব্যাতীত অন্যান্য সার শেষ চাষে সমানভাবে ছিটিয়ে মাটির সাথে মিশিয়ে দিতে হবে।,৮ থেকে ১০ সারি পরপর এক সারি বাদ দিয়ে চারা রোপণ করলে ধান গাছ পর্যাপ্ত আলো বাতাস পায়।,-2.94140625,3.90234375,False,0.0,1.0,0.3977272727272727,1.0,generative,৮ থেকে ১০ সারি পরপর এক সারি বাদ দিয়ে চারা রোপণ করলে ধান গাছ পর্যাপ্ত আলো বাতাস পায়।,1.0,1.0
50,চর এলাকায় বিনা চাষে পেঁয়াজ কখন বা কীভাবে সংগ্রহ করতে হবে?,সাধারণত বীজ বপনের ৩-৪ মাসের মধ্যে পেঁয়াজের বাল্ব তোলার উপযুক্ত হয়।,চর এলাকায় পেঁয়াজ বীজ বপনের ২০-২৫ দিনের মধ্যে আগাছা দমনের ব্যবস্থা নিতে হবে।,চর এলাকায় পেঁয়াজ বীজ বপনের ২০-২৫ দিনের মধ্যে আগাছা দমনের ব্যবস্থা নিতে হবে এবং বাল্ব তোলার ৩-৪ মাসের মধ্যে সংগ্রহ করতে হবে। বাল্ব পরিপক্ক ও সংগ্�,0.472900390625,1.928955078125,True,0.23076923076923075,0.4,0.5314685314685315,0.7115384615384616,generative,চর এলাকায় পেঁয়াজ বীজ বপনের ২০-২৫ দিনের মধ্যে আগাছা দমনের ব্যবস্থা নিতে হবে এবং বাল্ব তোলার ৩-৪ মাসের মধ্যে সংগ্রহ করতে হবে। বাল্ব পরিপক্ক ও সংগ্�,0.4,0.7115384615384616
